class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
4.2694325,4.371584,-1.727474,-9.445687,-5.148627,-15.043988,-8.195693,-6.455005,-19.56912,-0.7843306,-4.5956087,-26.06938
10.420862,7.281698,14.195483,0.6992314,-3.8030682,-20.14469,-5.331214,-3.722497,-17.663662,-11.386939,-10.7855015,-20.944944
9.917389,5.2437754,1.7682471,-13.298388,-10.856987,-22.75876,-2.9535773,-2.7926302,-16.190153,-5.265031,-4.963936,-12.476228
5.0101295,4.224998,9.394645,-6.129964,-8.041204,-16.723045,3.7141917,2.0921907,-11.507673,-4.5607605,-7.8007717,-18.122063
10.1942005,7.3123164,5.9445453,-4.2241383,-1.9196368,-11.06234,-0.6942966,-0.16326916,-10.162031,-0.4053905,-7.0975456,-26.905046
16.804516,12.656414,24.789562,2.2893212,-0.16270602,-13.9921465,1.7356608,1.6086984,-1.3894968,-1.29796,-7.179572,-25.994638
10.929882,5.802591,3.884645,-6.3930607,-8.298196,-18.54932,5.137068,1.5745648,-6.923065,-6.8668528,-2.709282,-10.466086
17.451853,13.956013,27.488167,-9.391482,-4.546205,-12.530286,-4.5912743,-4.247242,-19.680258,-8.293974,-3.3905015,-11.239014
10.928827,7.357665,10.209206,-1.1124256,-8.127615,-24.858492,13.605153,9.984046,15.352001,-10.174835,-13.151876,-31.390411
16.378378,12.315198,23.087212,-0.50602794,-2.2836895,-8.735266,-7.9434786,-3.159562,-7.5934973,-0.59332466,-3.404058,-18.415056
3.6318688,3.4037414,-8.326689,0.4200462,-2.2310529,-11.911079,-0.12646627,-1.6469942,-20.739964,-10.500486,-6.9787827,-23.705334
9.775397,7.0351257,9.342892,-4.0245113,-4.396635,-21.63476,-9.780748,-5.862323,-17.334715,-14.842253,-13.374238,-27.139538
14.447599,10.910516,23.251299,2.9457002,0.08238733,-11.524501,-5.222027,-3.9291162,-8.29048,-1.2956069,-3.7190866,-23.075043
-2.0388224,-1.8531975,-4.6112347,-4.977417,-5.9312944,-12.748088,-4.417286,-3.3290854,-4.6504135,-9.896851,-6.6806583,-22.883091
2.3969197,3.0738842,0.65162754,-2.0237677,-0.41495275,-8.3321705,3.5204592,3.552919,-1.4757438,0.0002272129,-3.857728,-24.302399
11.679,7.962859,10.770375,-5.5574846,-2.8159199,-11.392101,7.35299,5.443084,4.410434,-1.5376484,-2.593635,-23.83361
5.1235304,2.120448,6.9754934,-5.455308,-7.45144,-27.644068,-5.3376484,-3.7312179,-18.300987,-10.563997,-8.720979,-18.72538
12.539478,8.703446,14.610727,-7.0775623,-3.246097,-9.971022,-1.6800053,-4.2991204,-21.884949,-7.5303802,-3.575852,-13.798016
4.9724536,1.4335009,-3.7647607,-3.5134237,-4.623682,-12.941869,-0.012729883,-0.99519026,-20.125492,-6.817609,-4.658294,-19.433544
2.3307323,-0.8839301,-5.8806143,-4.1636505,-2.2993627,-9.166871,3.5617328,-3.740059,-16.660501,-8.477316,-8.746262,-31.004429
