class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0025507268,-0.064616635,-0.029066743,0.0023239432,-0.06454836,-0.029235262,0.0022879113,-0.06452594,-0.029179573,0.0025606668,-0.064753905,-0.028989727
0.0023664283,-0.06458321,-0.029134944,0.0024916353,-0.06477505,-0.029222019,0.0025333185,-0.06479929,-0.029021159,0.0027452083,-0.064875655,-0.028941495
0.0025865883,-0.064725414,-0.029093903,0.0026064152,-0.06452594,-0.029252358,0.0024727285,-0.06479951,-0.029162409,0.0025606658,-0.065040864,-0.02886881
0.0026189517,-0.064756215,-0.029082306,0.0025703283,-0.06499905,-0.028914705,0.0023964737,-0.06460014,-0.029141022,0.0025553973,-0.06455646,-0.029168136
0.0026023947,-0.06478333,-0.028931383,0.0024074987,-0.06461234,-0.029163374,0.0024565645,-0.06475892,-0.029233476,0.0024588415,-0.06477595,-0.029251726
0.002464313,-0.06469403,-0.029169893,0.0024736477,-0.06501123,-0.028872607,0.0024382304,-0.064759426,-0.029202988,0.0024469057,-0.065014586,-0.028871542
0.0024325913,-0.064935714,-0.02890311,0.0025199307,-0.06503207,-0.028866656,0.002470537,-0.064872175,-0.02914571,0.0024765339,-0.06467455,-0.029129915
0.0025863228,-0.06473218,-0.029057939,0.0026753247,-0.064919814,-0.028977085,0.002549896,-0.06460933,-0.02904783,0.0025125965,-0.06473346,-0.02902087
0.0025566826,-0.06496842,-0.028918311,0.002540498,-0.06461117,-0.029041292,0.0025573233,-0.06499848,-0.028931957,0.0023412788,-0.06455429,-0.029154088
0.0023802146,-0.0645936,-0.029155299,0.002348896,-0.064569324,-0.029159607,0.0027143052,-0.06494263,-0.028951742,0.0023631454,-0.06455651,-0.029179715
0.0025782892,-0.0645679,-0.029134156,0.0024444517,-0.06470184,-0.029201627,0.002609972,-0.064512946,-0.029285355,0.0022874875,-0.0645235,-0.029221553
0.002492479,-0.06472005,-0.029237866,0.0023258254,-0.06455978,-0.029221345,0.0025206218,-0.064747736,-0.029055078,0.0026326915,-0.0645317,-0.029261773
0.0024841959,-0.06474078,-0.029236423,0.0023601204,-0.06458453,-0.029150032,0.0024443306,-0.06493835,-0.02892308,0.0025514225,-0.06470885,-0.02905287
0.0024314597,-0.06476169,-0.029211743,0.0024396628,-0.06482044,-0.029154105,0.0023999028,-0.06492649,-0.02895141,0.0026409905,-0.06483937,-0.02889498
0.0023943642,-0.06492391,-0.028929457,0.0024880376,-0.06477345,-0.029236697,0.0024669264,-0.06480929,-0.029220575,0.0025363648,-0.06471419,-0.029030794
0.002409746,-0.06463228,-0.02913174,0.0026311083,-0.06495875,-0.028944751,0.0026026964,-0.064536825,-0.029240573,0.002438086,-0.06499127,-0.028851213
0.0025279345,-0.06451309,-0.029274499,0.0024359236,-0.06466322,-0.029145872,0.0025352705,-0.06469723,-0.029118467,0.0025252597,-0.06448904,-0.02928676
0.0024693916,-0.06469225,-0.02921329,0.0025999956,-0.06469042,-0.028926637,0.002651182,-0.06482339,-0.028852211,0.0024345089,-0.06477795,-0.029241685
0.002555511,-0.064794295,-0.028901735,0.0024301345,-0.064946994,-0.028882181,0.0024576169,-0.06479057,-0.029216297,0.0024319328,-0.064759955,-0.029249752
0.002635722,-0.0648226,-0.029049324,0.0025263568,-0.06475767,-0.028883722,0.0025388477,-0.06479821,-0.028881066,0.0024532638,-0.06492168,-0.02902062
0.0025157705,-0.06452023,-0.029281031,0.0026680138,-0.064793736,-0.029025352,0.0027105166,-0.064974874,-0.028931856,0.0025486043,-0.06471283,-0.02903355
0.0024509039,-0.0647231,-0.02924093,0.0025447374,-0.0645299,-0.029108897,0.0025973609,-0.06471449,-0.02891974,0.0024434123,-0.064910464,-0.028960548
0.0024004318,-0.06460511,-0.029139109,0.0026518004,-0.06494456,-0.028953623,0.002604396,-0.06478732,-0.028836375,0.0025927834,-0.0647753,-0.028870817
0.0024677478,-0.064688034,-0.029157788,0.0026760036,-0.064800575,-0.029013585,0.0024616783,-0.06495353,-0.028905429,0.0026463,-0.064800255,-0.028841373
0.0025733886,-0.06479997,-0.028948795,0.002523032,-0.06451862,-0.029285105,0.0025414135,-0.0647838,-0.028889325,0.0027182167,-0.06490742,-0.0289645
0.0024340171,-0.0647922,-0.029156264,0.0024350379,-0.064783745,-0.029211557,0.00259748,-0.06494546,-0.028962439,0.002601726,-0.06476033,-0.028908536
0.0025676107,-0.064720795,-0.029075267,0.0022870712,-0.064496025,-0.029197501,0.002497539,-0.06497607,-0.028895611,0.0024814298,-0.06482295,-0.029190175
