class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-7.366974,-23.848913,-10.880068,4.994417,14.136115,9.245817,-0.97566926,12.334538,6.4353986,0.59038866,-8.437852,-5.5397334
-3.1409397,-16.847849,-8.6929,3.5843868,6.6246448,6.088505,-8.24803,-33.101498,-16.734724,4.156687,11.867297,6.7717977
-5.1663322,-18.824802,-8.867147,5.568339,21.14774,11.739401,0.13016391,0.27093646,0.3256992,8.005033,16.959032,10.318455
-7.103773,-28.824621,-15.128124,-0.22282612,7.272186,3.9525447,-5.714281,-21.461246,-11.430248,6.6026344,13.470865,8.07333
-6.170347,-22.532864,-11.491463,4.7110333,19.285246,11.337477,-0.21307862,-9.752698,-5.2244644,5.9725027,14.827651,10.980825
-4.5496244,-19.573753,-8.589474,5.0734515,21.44058,13.383614,1.53817,-1.7315544,1.6091796,8.621074,20.952526,9.373686
-0.7329708,-11.613282,-4.1285353,4.5268297,11.922301,8.145136,1.41952,-1.6127875,-0.32989436,7.4690523,30.253307,16.408495
-2.1344748,-9.820648,-5.206599,4.7978897,19.53889,10.882902,6.7726183,9.22432,3.0439925,-3.571231,1.9243867,0.88147473
-5.18292,-14.127107,-6.787543,2.8657875,5.200207,1.6094421,1.3749729,6.3949256,3.7699523,2.9629226,5.4560285,2.959628
-2.023872,-11.865354,-4.0645256,4.669449,9.903788,6.3258643,3.2693381,1.4905778,-0.95545375,0.17868733,9.673581,6.25257
-1.111145,-9.27304,-4.2509794,1.1260952,7.670954,5.768044,3.422821,17.038992,10.306404,2.6661,21.140146,12.05957
3.125558,3.215067,1.9664311,6.916916,24.383366,15.061113,-4.406731,-14.177489,-6.033994,3.9608808,14.195241,7.2449756
-3.1317732,-17.825106,-7.6572933,5.0414834,19.808144,12.684225,-3.3011842,-17.190796,-7.1434665,5.031214,8.030484,6.8827014
-3.0594544,-16.53524,-8.036715,-1.4736792,13.468539,6.855558,-2.9035082,0.58785224,0.96325624,6.045448,20.609924,10.7406025
1.1857401,-4.1444707,-2.1459255,3.7083597,16.761042,8.877134,1.318494,-4.6979117,-0.87668854,1.1213032,6.729465,4.5435505
-5.42118,-25.201748,-12.072262,4.3495917,22.636093,13.10619,-0.7953913,-0.7214947,0.8954638,-3.6627913,-1.6861883,-0.6268873
-2.1050715,-6.5764074,-2.019277,3.9386187,10.494277,7.182695,-10.193373,-34.854153,-17.866158,2.0790024,10.862567,5.8933234
-7.0778093,-24.968643,-13.701595,2.47222,13.264344,8.835325,4.204792,21.457582,12.253216,5.1696644,11.5940275,6.421709
-5.642591,-20.643822,-10.270813,1.5671755,11.651727,6.6427436,-7.19351,-32.12441,-16.470385,2.8092728,13.806267,9.087856
-9.48118,-22.720476,-12.23756,1.8350784,-2.8075686,0.2462706,4.686214,3.2543056,-0.1843983,2.5467267,6.729088,4.0322757
1.1491429,2.984981,2.7078457,2.4457269,2.160105,3.690436,2.8021479,-1.6130445,-2.1086938,3.9735665,2.337841,0.33438152
-6.2608347,-25.93672,-12.330341,3.6975799,17.372566,9.47781,-0.5222535,14.812067,7.8030877,3.2057233,12.169604,6.31587
0.52106047,-8.580453,-5.5370717,1.725536,17.523449,10.209335,0.1733185,7.976504,5.0449057,9.282725,17.548513,7.1936927
-4.1961665,-20.41264,-9.353714,0.09946048,1.2547318,2.1909032,3.1041436,16.635475,10.015104,3.8605351,16.945404,9.288734
-0.374152,-5.753608,-1.2159429,4.0043736,17.728886,11.590748,-0.21868479,6.4196315,4.310906,3.7422013,13.016479,6.626856
-0.092482686,-2.6111088,-1.3697764,4.34412,20.35533,11.953102,-3.2741103,-18.998652,-10.499493,7.838539,17.196657,11.7602215
-2.1690865,-13.14802,-5.9990473,1.9392678,10.215947,6.4027762,-3.6426015,-20.69446,-9.732594,3.4895449,2.2498503,0.9152312
-0.34281528,-4.719637,-1.0733173,-1.2146394,13.023697,6.6698475,2.649984,-1.6120172,0.7936828,9.54664,24.44577,11.293406
-3.4796586,-18.246994,-10.694454,4.1895957,9.639971,7.4595737,-9.028798,-25.735909,-13.663424,2.7709532,19.020462,12.137478
-0.07936609,3.0921164,3.8167224,1.6712407,10.00558,7.648502,0.7560952,-2.4472601,0.20911735,7.142294,13.148896,6.0986915
-3.1899128,-9.175585,-3.7634835,-2.8177543,6.6413393,3.3473973,-3.388246,-16.782187,-7.632829,5.6849623,7.94263,6.2874103
-1.7618845,-3.4639382,-2.0977683,1.3139321,5.376985,3.7556028,6.1216493,16.898798,9.13562,5.9920335,20.359097,10.305479
2.2328992,-2.404332,-2.619196,4.0077534,26.824493,15.346344,-4.8602815,-3.8777554,-2.4322803,8.254916,20.971037,10.661255
0.78350985,-7.4658294,-4.698536,2.31886,0.9057311,0.48982978,6.0931706,11.757077,8.9064865,-0.62993836,14.428464,7.844295
1.4358808,-4.788242,-4.2941422,3.1802235,4.9141126,5.385859,5.794404,26.919537,17.179848,-2.9222183,-9.198463,-3.4100347
-5.6081467,-20.08852,-9.45401,0.65308344,-0.24679378,-0.34202647,6.0842543,11.269228,8.514963,5.253468,20.626862,12.3147545
-1.0813386,2.1130977,2.6047025,4.6984773,15.825408,7.8342986,-9.094779,-38.93151,-20.051075,3.8326392,8.532536,4.1509013
-7.9827614,-29.136513,-14.449419,5.705021,10.339343,7.814363,2.993948,16.702637,9.573654,0.33789635,12.876759,7.6529403
-0.66499203,-0.31981573,1.7124047,1.7005783,0.99650323,2.4877138,-6.8426533,-17.305727,-9.04837,4.014927,21.70997,12.437727
-5.5185604,-22.347118,-10.902571,3.239304,11.6510515,7.9934306,6.453617,18.81654,10.184414,4.357036,5.8355284,2.8125894
-0.09658229,1.9035988,2.9056027,0.12678385,2.6422684,1.4326079,1.0338315,6.364088,3.2460737,1.3316346,8.558744,5.841788
-4.844402,-20.496529,-9.468813,5.7624993,20.991488,13.222914,1.7236148,0.43108693,1.3703723,4.1438437,8.270574,6.4955583
-1.1700064,-9.263652,-2.6086917,3.3950315,15.374345,8.403847,0.89809287,-2.0000446,-2.2146347,6.2984295,18.672056,10.071209
-1.8493332,-4.315231,-2.6602504,4.327899,11.749952,5.21843,-3.7134318,-17.081293,-8.2891865,11.320249,36.8422,20.360153
