class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.803325,0.9115994,-0.9309342,4.735989,-2.9307022,1.9713223,-2.9840312,0.62280977,-1.7116554,4.5401773,1.1654803,2.3889008
-2.7299364,-0.3451628,-1.9223835,7.026008,-0.042289294,3.7785118,3.8657255,0.456582,1.7602599,4.0971313,2.3029602,2.5371435
1.6975671,1.7588618,0.976881,2.213057,2.0959957,1.4432235,8.027837,6.2417445,4.8276825,-4.7461686,-2.3576725,-3.4781907
-2.9460845,3.6363628,-1.3646221,7.926312,0.573344,4.31822,3.7228398,5.01872,2.1538994,4.3018236,1.6880664,2.0568776
-8.389362,-1.3127073,-4.81676,5.286779,3.2760568,3.2406702,-5.1450324,3.0675354,-2.9044034,3.5547113,-3.0786126,0.41643333
0.31688428,-0.093781754,-0.31287855,3.5837927,-0.66826063,1.8263934,-2.9674492,-0.5210524,-2.1363304,6.551207,3.0321453,3.6681592
-13.390754,-0.8244918,-8.4866,4.7384415,2.693546,2.5397365,-0.37372333,1.0274456,-0.46299475,6.4236536,5.0664277,4.006983
-7.425385,-0.91633284,-5.380472,2.4761071,0.89065015,0.26886117,-17.386093,-4.0788383,-10.373574,6.645423,1.69456,3.2854898
0.8215898,-0.9609717,0.22385073,4.253473,5.9022136,2.934537,-2.4871118,-0.68063986,-2.7118738,8.387698,-1.4060764,4.491495
-6.7956605,0.26927286,-3.9561722,7.6397824,1.7910644,4.0046425,-0.60455406,-1.124777,-1.017018,6.737814,0.38502944,3.4850547
-3.0685625,3.36322,-1.4235431,6.4511404,7.0219975,3.9243033,5.535243,0.7397697,2.7868323,-2.4126606,-1.9271141,-2.0664103
-5.028278,-2.759517,-3.9538298,1.7155994,4.8469095,1.1638998,4.132584,-1.5921644,2.1156883,1.4377774,3.0979939,1.0851293
-4.151154,1.0467166,-2.168766,7.632217,1.8807298,3.8500936,-2.8607178,-1.0190289,-2.9660106,-5.1526675,0.7393018,-3.7301686
-6.6975784,3.577923,-3.3374918,4.0796595,6.6380525,2.6572535,-9.469068,2.0733047,-5.412052,-0.990333,4.8666277,-0.20042858
