class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.975108,-1.1124762,1.4418304,0.4502619,1.4766531,-0.82848954,-1.3037513,2.4639585,-1.8513316,-0.31705746,1.0185158,-0.53016305
1.2380642,-1.1255047,1.5175135,-0.4090124,2.0195267,-1.405186,0.4393351,-0.28429124,0.69252104,-0.9553175,2.0357325,-1.4519361
1.4033413,-1.3478192,1.7216182,-0.9670806,1.7967165,-1.2741874,1.4051583,-1.0956473,1.4469922,-0.58126974,1.4480791,-0.9007063
0.27233744,-0.2662357,0.5816987,0.5313657,-0.1473887,0.57528687,0.5724137,0.59539914,-0.061921358,-1.3958434,2.99208,-2.3342633
0.52748877,-0.34559926,0.66715235,-1.2867298,2.1016607,-1.5818206,1.3697586,-1.3169789,1.6902106,0.71884495,-0.7165869,1.1089842
0.7095972,0.012044847,0.46847543,-0.85438824,1.9277098,-1.3729059,-1.3343326,2.741353,-2.1444435,-0.19939396,0.64834154,-0.15780711
1.0578775,-0.625888,1.0424263,-0.118946165,1.0052005,-0.4989562,-1.3614055,2.555658,-1.9360536,0.5523697,-0.38596815,0.7272608
1.4492215,-1.8754914,2.1672707,-0.9295305,1.9872732,-1.4184753,1.2381648,-1.6135502,1.9198215,0.6301644,0.26682985,0.2282542
0.5514675,-0.565875,0.9195233,-1.0244877,2.123896,-1.6128067,0.86908674,-0.13817668,0.6039945,0.24022244,1.3669229,-0.7629043
0.5565915,-0.2221775,0.6212064,0.52315253,0.8901069,-0.32932138,-0.31236717,1.1878082,-0.6647966,0.5392884,-0.33211285,0.6805478
0.6920817,-0.13494658,0.6011462,0.2993203,1.6731763,-1.0295342,-0.41602388,1.3391337,-0.7977897,-0.63483834,1.0100809,-0.603639
0.990383,-1.3048017,1.646126,-2.0171025,2.9806027,-2.429844,1.3945725,-1.2486937,1.6249983,-0.042499006,0.2898643,0.13025206
0.17394367,-0.2361221,0.61531186,-1.4181993,3.0098403,-2.3182158,-1.0955036,2.1565676,-1.5606643,-0.75206685,1.6580248,-1.1402265
0.4243589,-0.13449538,0.5314672,-0.579707,1.3035374,-0.866557,-0.77846956,1.3584969,-0.8447087,0.3455182,0.94838345,-0.44099462
0.37434214,-0.19103682,0.56782556,-1.105721,2.37713,-1.7948488,0.7407237,0.42713928,0.087699175,0.9929955,-1.1424962,1.5080585
0.9086952,-0.1301046,0.59429276,-1.680214,2.6243787,-2.0685024,-0.9534993,1.7377589,-1.2150875,-1.6074007,3.0851102,-2.4539905
1.4033512,-1.4215158,1.7921802,-1.174104,2.9096153,-2.2747393,0.60619545,0.16088986,0.3038622,-1.1047909,2.0832722,-1.5089751
0.8939787,0.06846827,0.43351388,-1.1036767,2.565612,-1.9528886,-1.4844707,2.912885,-2.3099518,-0.9206288,2.1345263,-1.5630854
0.5055038,0.025943398,0.42502046,2.2313676,-1.810856,2.1768723,0.4218617,0.24477911,0.22390378,1.8570868,-1.1995208,1.6062129
0.7390193,-0.9317076,1.2313287,-0.39560243,1.9873805,-1.3711911,0.48885208,0.20704877,0.24924922,0.32260042,-0.15031576,0.5654538
1.341066,-1.0289428,1.4309437,-1.8355374,3.5681527,-2.8842354,0.11576334,0.39535797,0.053124785,0.37079152,0.91569483,-0.3621676
1.04435,-0.9628071,1.3415695,-0.44268146,1.6977475,-1.0696198,0.34685737,-0.10151267,0.50823855,0.58524776,0.48465836,0.007960558
1.1950728,-1.6254332,1.9190462,0.18980207,1.0977415,-0.5202699,-0.79732776,1.9636917,-1.409577,-1.6716857,3.4170659,-2.7543926
1.172754,-1.3365417,1.6896996,-0.85286987,1.9355364,-1.375517,0.947175,-0.9892753,1.3401847,-0.60832167,0.9870589,-0.58230615
1.20148,-1.1074835,1.4977806,-0.12656143,0.44623065,-0.0035578609,1.4954762,-1.1002195,1.5154643,-1.907232,3.1583197,-2.559536
0.5312672,0.54760003,-0.040771067,-0.1975672,1.2315214,-0.66494036,0.98620486,-0.24374807,0.72335964,-1.1968564,2.3900192,-1.7864212
-0.032689184,0.5347427,-0.07300615,-0.13699383,0.9661658,-0.42956078,-1.1536877,2.4949868,-1.8903981,0.83717537,-0.704722,1.0355363
0.9237517,-0.59712064,1.0283334,-1.6072806,2.4616315,-1.9153465,0.3117205,0.72439766,-0.1771934,-0.7439923,2.0007944,-1.3874508
1.4741533,-1.4304725,1.7983823,-0.8927393,2.3395803,-1.6915504,5.8680773e-05,0.35873437,0.009804606,-0.113527715,1.2116841,-0.6527302
0.3582564,0.6520915,-0.13387907,-0.50880706,2.4488006,-1.7816945,0.48319378,0.08979392,0.3782152,-0.743049,2.096743,-1.5097703
1.2974079,-1.0260906,1.437203,-0.0030807555,1.0809927,-0.5537393,1.1203238,-1.4584408,1.7277983,-0.5901418,0.99584436,-0.5410782
1.326966,-1.1456715,1.5186973,-0.79892325,1.7883174,-1.254912,0.4717597,-0.40607047,0.81436396,-1.4607831,3.1405385,-2.4795709
0.35850278,0.14502347,0.28409994,-1.431681,2.530553,-1.9538888,-1.0423415,1.5884571,-1.115837,-0.055686206,1.241001,-0.6804024
-0.18002173,0.66276157,-0.18938398,-1.3806896,2.895389,-2.246078,-0.1714854,0.8157462,-0.40295565,-1.5911129,3.368539,-2.7423716
-0.12184206,0.6421956,-0.17669713,-1.9318457,3.1749635,-2.569284,0.63270396,-0.32424876,0.72385055,0.47475964,-0.30875286,0.7063121
0.01646322,0.5220475,-0.057679176,-0.52787757,1.0462427,-0.6381817,1.5611831,-1.2130239,1.6053956,1.2488544,-0.7139965,1.1386731
0.25392866,0.2811333,0.19702196,-0.5982249,1.5598788,-1.0527687,0.6150464,0.06571615,0.41893148,0.16498926,-0.07726717,0.45820764
1.299067,-1.1171838,1.4904375,-1.4546815,3.1868465,-2.5039454,0.83654106,-1.1936109,1.5086939,1.4593515,-1.1740067,1.5490551
1.3520383,-1.1884897,1.55969,-0.498477,2.162717,-1.5203911,1.5482138,-1.1507069,1.5486133,-1.3404614,2.5364144,-2.03398
1.6463239,-1.1053627,1.5309902,0.23439145,0.17524594,0.29913807,0.9242245,-1.2904015,1.6204876,-1.0552177,1.8235395,-1.3107978
1.2513585,-0.6478222,1.0957141,0.5271992,1.1402358,-0.54967034,1.2399963,-0.9560412,1.3477604,-0.85441375,2.040492,-1.4709438
0.36848456,-0.046750665,0.5036964,0.34163016,0.87397707,-0.29692912,-0.26412484,0.919122,-0.41460145,0.17426279,0.053317726,0.36737722
0.06654772,0.4324659,0.028679907,0.44952506,0.8488244,-0.29770517,0.922366,-1.0977354,1.4562073,-0.9715023,2.3792658,-1.7328714
0.50855106,-0.16885006,0.6162281,-0.0074701905,0.68915343,-0.16781044,1.4658967,-2.3125181,2.533297,0.6491615,-0.8685424,1.1673151
-0.160761,0.30770886,0.028086662,-0.39935538,1.0714166,-0.6619934,1.5451058,-1.2751076,1.6147316,-1.3928082,2.835823,-2.268906
0.89870703,-0.92284894,1.2090771,-0.45740685,2.0272434,-1.4272853,1.3589743,-0.4626093,0.9136276,-0.6393732,2.0816097,-1.4484059
0.8446778,0.50104845,0.052292705,-0.22051069,0.74266756,-0.32875645,-0.038740247,0.25822175,0.09119868,-0.45082113,1.7635739,-1.2083575
0.046620518,0.17244172,0.25805986,-0.7310449,2.099409,-1.4727091,1.0442162,-0.41222015,0.8889306,-0.875185,2.7436333,-2.0786362
1.3246424,-1.1393012,1.5140997,-0.68223906,2.4588802,-1.7901071,0.8263544,-1.1722016,1.4831039,-1.0650729,1.8292034,-1.3631734
0.78022903,-0.20042986,0.6337785,0.26691058,0.07251692,0.35645032,0.8011271,-0.34711248,0.7756379,0.3082077,-0.45938885,0.8027292
0.68885887,0.1527034,0.33422977,-1.0749608,2.3674915,-1.8516318,1.6700406,-2.351778,2.5466685,-1.0077755,2.5005975,-1.8940798
1.1838088,-1.6615393,1.9841003,-0.5679637,1.9606519,-1.3346401,0.0750967,0.58840084,-0.09947789,-1.2172524,2.7739484,-2.0994744
0.20917681,0.3193556,0.11936653,0.15968575,1.9273198,-1.2663392,1.1732789,-0.79828393,1.191911,-0.6451521,1.3599298,-0.9123404
0.87703586,-0.22107834,0.67646,-0.43352893,2.0115597,-1.3996245,0.9572383,-0.5833005,1.0115137,-0.44316688,1.3212235,-0.77423954
1.6146274,-1.4665107,1.8340229,-0.16668046,0.49017525,-0.11426532,0.74026644,-0.8619038,1.1916666,-0.5728984,1.6795249,-1.1231908
-0.002315104,0.35300565,0.10153973,-2.192623,3.6051567,-2.9440641,0.9024037,-1.2647082,1.6155429,-1.9387383,2.9746363,-2.4157166
